name,type,value,date
MH-BYGTSG-4F-05,2,102.5,09:13
MH-CLA-4F-402-1,3,96.5,09:13
MH-BYGTSG-3F-04,4,64.0,09:13
MH-FC2-3F-318-1,5,48.5,09:13
MH-XZY-1F-106,6,44.5,09:13
MH-CLF-2F-201,7,40.0,09:13
MH-XTYG-2F-203-2,8,24.0,09:13
MH-D4CY-1F-01,9,17.0,09:13
MH-BYGTSG-4F-03,10,16.0,09:13
MH-CLE-2F-203,1,401.5,09:14
MH-FC2-5F-510,2,344.0,09:14
MH-XZY-2F-211,3,119.0,09:14
MH-GCLXSYZX-3F-02,4,106.0,09:14
MH-GCLXSYZX-3F-01,5,83.0,09:14
MH-BYGTSG-1F-01,6,66.0,09:14
MH-BYGTSG-4F-04,7,62.0,09:14
MH-BYGTSG-3F-04,8,60.5,09:14
MH-BYGTSG-1F-07,9,58.0,09:14
MH-HJKXL-2F-08,10,52.0,09:14
MH-MLL-4F-B401,1,121.5,09:15
XH-XSY-1F-S103-2,2,77.5,09:15
MH-CLA-3F-313-2,3,34.0,09:15
MH-NS2-5F-0-508-1,4,33.0,09:15
MH-LZDTSG-3F-02,5,28.5,09:15
MH-HLGC-1,6,13.0,09:15
MH-BYGTSG-3F-04,7,12.5,09:15
MH-GCLXSYZX-9#-OUT,8,12.0,09:15
MH-LZDTSG-3F-09,9,12.0,09:15
MH-D1CY-1F-01,10,9.5,09:15
MH-HX-A-5F-535,1,53.0,09:16
MH-HJKXL-2F-07,2,43.5,09:16
MH-FC1-3F-305,3,39.0,09:16
MH-LZDTSG-2F-01,4,23.5,09:16
MH-LZDTSG-3F-09,5,19.5,09:16
MH-XTYG-CYL-54#-OUT,6,19.0,09:16
MH-HKY-1F-7,7,16.5,09:16
MH-GCLXSYZX-2F-04,8,12.5,09:16
MH-YXL-7-5F-01,9,10.5,09:16
MH-FC2-3F-318-2,10,9.0,09:16
MH-LZDTSG-2F-05,1,72.5,09:17
MH-BYGTSG-2F-05,2,71.0,09:17
MH-LZDTSG-2F-06,3,56.0,09:17
MH-BYGTSG-3F-04,4,37.0,09:17
MH-D1CY-1F-16,5,33.0,09:17
MH-XZY-1F-107,6,26.5,09:17
MH-D1CY-1F-14,7,18.5,09:17
MH-MLXY-N-BGT-01,8,17.5,09:17
MH-XSY-1F-115,9,16.0,09:17
MH-MLXY-N-4F-05,10,12.0,09:17
MH-BYGTSG-1F-07,1,43.5,09:18
MH-ZYXY-5F-01,2,41.0,09:18
MH-GCLXSYZX-4F-06,3,35.5,09:18
MH-CLB-1F-112,4,34.0,09:18
MH-BYGTSG-2F-03,5,33.5,09:18
MH-LZDTSG-2F-03,6,25.5,09:18
MH-HX-A-5F-518,7,25.0,09:18
MH-XZY-1F-106,8,16.5,09:18
MH-D4CY-1F-02,9,14.5,09:18
MH-FC2-3F-318-2,10,14.5,09:18
MH-XZY-1F-115,1,81.5,09:19
MH-CL-E-3F-01,2,81.0,09:19
MH-GCLXSYZX-5F-01,3,66.0,09:19
MH-GMTYC-1F-09,4,48.0,09:19
MH-MLL-6F-A602,5,35.0,09:19
MH-GCLXSYZX-2F-04,6,29.5,09:19
MH-MLL-6F-A606,7,22.5,09:19
MH-XTYG-CYL-2F-05,8,17.5,09:19
MH-CLB-2F-204,9,16.5,09:19
MH-YX5-2F-201,10,15.5,09:19
MH-BYGTSG-2F-03,1,159.0,09:20
MH-NS2-5F-0-508-1,2,131.5,09:20
MH-HX-A-5F-523,3,118.0,09:20
MH-MLL-10F-A1008,4,75.0,09:20
